,tweet emoji,sentimen llm,tweet_with_tags
1220,"Gue gak pantes sama kamu... Aku sadar diri selama ini... Bukannya prinsip wanita harus lelaki yang ngejar... Tapi kok heran gue, lihat cowok ganteng terpesona... Gue kejang kejang ngerasain sikapmu hanya bisa, sabar.. Coba gue cowok ganteng gak gini gini amat kan... 😛",negatif,"Gue gak pantes sama kamu... Aku sadar diri selama ini... Bukannya prinsip wanita harus lelaki yang ngejar... Tapi kok heran gue, lihat cowok ganteng terpesona... Gue kejang kejang ngerasain sikapmu hanya bisa, sabar.. Coba gue cowok ganteng gak gini gini amat kan... <Wajah Menjulurkan Lidah>"
1221,Udah muak sama jurnal. 😛,negatif,Udah muak sama jurnal. <Wajah Menjulurkan Lidah>
1222,Disuruh pasti anak sm aja phobia mic ya kali inisiatif sendiri wkwkwkkk btw thanks ya jenooo pasti jeno gugup deh wkwkwkwk 😛,positif,Disuruh pasti anak sm aja phobia mic ya kali inisiatif sendiri wkwkwkkk btw thanks ya jenooo pasti jeno gugup deh wkwkwkwk <Wajah Menjulurkan Lidah>
1223,"dan rasa-nya aku sudah bersahabat baik dengan kecewa, sampai-sampai dia enggan meninggalkan ku. Ia terus melekat, dimanapun dan kapanpun aku berada. 💔",negatif,"dan rasa-nya aku sudah bersahabat baik dengan kecewa, sampai-sampai dia enggan meninggalkan ku. Ia terus melekat, dimanapun dan kapanpun aku berada. <Hati Patah>"
1224,"Gatau aja betapa care nya sihoon ke eunsang, Saya sebagai brandnewz stan merasa tersinggung 😠",negatif,"Gatau aja betapa care nya sihoon ke eunsang, Saya sebagai brandnewz stan merasa tersinggung <Wajah Marah>"
1225,Takut yg ditag risih 😛,netral,Takut yg ditag risih <Wajah Menjulurkan Lidah>
1226,ngeri na jgn gitu 😛,negatif,ngeri na jgn gitu <Wajah Menjulurkan Lidah>
1227,kecewa y gan 😛,negatif,kecewa y gan <Wajah Menjulurkan Lidah>
1228,"Singkirin dulu dengki nya ya bos, w liat u jg jijik 🙄 tp w diem aja bcs people live in their own ways senang aq mjd bahan gabut anda sekalian fren mwah 😂",netral,"Singkirin dulu dengki nya ya bos, w liat u jg jijik <Wajah Memutar Mata> tp w diem aja bcs people live in their own ways senang aq mjd bahan gabut anda sekalian fren mwah <Wajah Menangis Gembira>"
1229,Syukur deh gak jadi. Yang pelit kulit ayam dilarang mampir 😛,netral,Syukur deh gak jadi. Yang pelit kulit ayam dilarang mampir <Wajah Menjulurkan Lidah>
1230,Aku dah penat jadi bodoh kat Twitter 😛,negatif,Aku dah penat jadi bodoh kat Twitter <Wajah Menjulurkan Lidah>
1231,sy nk tidur awk.. penat dh.. sy nk chat awk tpi tak daya dh buat masa skrg. 😴,netral,sy nk tidur awk.. penat dh.. sy nk chat awk tpi tak daya dh buat masa skrg. <Wajah Tidur>
1232,"biasanya malem malem gini kamu bakal nanya ""mau cerita ga"" trs aku bakal cerita hari ini ngapain aja, sambat, ngeluh. sekarang aku mau chat takut kamu risih, takut kamu malah ngejauh 😔",negatif,"biasanya malem malem gini kamu bakal nanya ""mau cerita ga"" trs aku bakal cerita hari ini ngapain aja, sambat, ngeluh. sekarang aku mau chat takut kamu risih, takut kamu malah ngejauh <Wajah Termenung Sedih>"
1233,nonton itaewon class tiap episodenya aku emosii sama org2 janga. heran ada aja cara buat jatohin sae royi 😠,negatif,nonton itaewon class tiap episodenya aku emosii sama org2 janga. heran ada aja cara buat jatohin sae royi <Wajah Marah>
1234,"Saat terjadi lock down hukum ekonomi berlaku dengan sendirinya, barang terbatas konsumen banyak harga barang bisa naik 100 kali lipat. Jadi tdk usah heran apalagi kaget. Astaga! Kota di-Lockdown, Roti Sebungkus Dijual Hampiri Rp 2 Juta 💣",negatif,"Saat terjadi lock down hukum ekonomi berlaku dengan sendirinya, barang terbatas konsumen banyak harga barang bisa naik 100 kali lipat. Jadi tdk usah heran apalagi kaget. Astaga! Kota di-Lockdown, Roti Sebungkus Dijual Hampiri Rp 2 Juta <Bom>"
1235,"Makin lama muak gue sama orang norak ada kosakata baru dikit2 open minded lah, dark jokes lah, tolong cuy ini sensitif bgt, kalo kaya gini lo menggeneralisir sesuatu ga sesuai konteks nya berarti, ya sama aja kaya dark jokes kemaren tentang virus corona, 🤔",negatif,"Makin lama muak gue sama orang norak ada kosakata baru dikit2 open minded lah, dark jokes lah, tolong cuy ini sensitif bgt, kalo kaya gini lo menggeneralisir sesuatu ga sesuai konteks nya berarti, ya sama aja kaya dark jokes kemaren tentang virus corona, <Wajah Berpikir>"
1236,"terkadang orang yg uda kurus bener kek triplek, masi aja ngeluh atau nanya kurus gk, ah aku gemukan. mikir si ada yg lebi gemuk dr elu, dan mereka enjoy. kalo lu blg gini gemuk gk? gw tersinggung anj, gw iri pen sekurus yg lu bilang gemuk gk ini hmmm 😛",negatif,"terkadang orang yg uda kurus bener kek triplek, masi aja ngeluh atau nanya kurus gk, ah aku gemukan. mikir si ada yg lebi gemuk dr elu, dan mereka enjoy. kalo lu blg gini gemuk gk? gw tersinggung anj, gw iri pen sekurus yg lu bilang gemuk gk ini hmmm <Wajah Menjulurkan Lidah>"
1237,"Iya lagian kan tujuan mereka nge spill buat apa? Itukan twt 10 tahun yang lalu, udah basi banget rasanya kalo harus di permasalahin, im saying this bukan karna ardhito ganteng atau famous, 🤐 muak aja sama org yg bilang ke base tau tentang maksud dari twt ardhito ini itu",negatif,"Iya lagian kan tujuan mereka nge spill buat apa? Itukan twt 10 tahun yang lalu, udah basi banget rasanya kalo harus di permasalahin, im saying this bukan karna ardhito ganteng atau famous, <Wajah Mulut Resleting> muak aja sama org yg bilang ke base tau tentang maksud dari twt ardhito ini itu"
1238,"Gausah dikeluarin yang, kasian takut ada calon anak presiden nanti 😛",negatif,"Gausah dikeluarin yang, kasian takut ada calon anak presiden nanti <Wajah Menjulurkan Lidah>"
1239,terkejut ingat nak mati dah rupanya nak tidor ja hahahaha 😛,netral,terkejut ingat nak mati dah rupanya nak tidor ja hahahaha <Wajah Menjulurkan Lidah>
1240,"Muak sdh kita melihat sistim penegakan hukum saat ini, semena mena menindas rakyat kecil, sdgkan yg kakap banyak yg bela? 😠",negatif,"Muak sdh kita melihat sistim penegakan hukum saat ini, semena mena menindas rakyat kecil, sdgkan yg kakap banyak yg bela? <Wajah Marah>"
1241,"Walaupun ada kata ""maaf"" dan bukan aku yg ditanya, tapi aku tersinggung, sakit hati 🫠 bacanya",negatif,"Walaupun ada kata ""maaf"" dan bukan aku yg ditanya, tapi aku tersinggung, sakit hati 🫠 bacanya"
1242,"Dah mabok nabrak org sampe meninggal, ngamuk ngamuk pula Ngeri banget eh org jaman sekrng 😠💣",negatif,"Dah mabok nabrak org sampe meninggal, ngamuk ngamuk pula Ngeri banget eh org jaman sekrng <Wajah Marah><Bom>"
1243,Provokator bapak moyangmu anjing kurap?? Wajar kalau kami tersinggung kalau rumah ibadah kami di rusak... Anjing bahlul lo.. 😠💣,negatif,Provokator bapak moyangmu anjing kurap?? Wajar kalau kami tersinggung kalau rumah ibadah kami di rusak... Anjing bahlul lo.. <Wajah Marah><Bom>
1244,"Banyak duka yg hanya disimpan sendiri hanya untuk memenuhi '2020 ini aku harus bahagia, opo wae sing marai bahagia dilakoni' 😔",negatif,"Banyak duka yg hanya disimpan sendiri hanya untuk memenuhi '2020 ini aku harus bahagia, opo wae sing marai bahagia dilakoni' <Wajah Termenung Sedih>"
1245,"Saat itu.. Di shelter 3 gunung kerinci.. 19 tahun yang lalu.. Ketika itu aku mulai memikirkanmu, kagum, terpesona.. Dan membawamu pulang... 😛",netral,"Saat itu.. Di shelter 3 gunung kerinci.. 19 tahun yang lalu.. Ketika itu aku mulai memikirkanmu, kagum, terpesona.. Dan membawamu pulang... <Wajah Menjulurkan Lidah>"
1246,"Nah itu aing kalo sayang org gk main2, cuman kalo dah kecewa maaf2 aja hehe 🙃 mau bertahun2 juga aing gk perduli, sama sebaliknya pasti",netral,"Nah itu aing kalo sayang org gk main2, cuman kalo dah kecewa maaf2 aja hehe <Wajah Terbalik> mau bertahun2 juga aing gk perduli, sama sebaliknya pasti"
1247,"Mimpi pergi supermarket beli macam barang ingredients semua, semangat nak buat cookies bagai, Last2 terbangun semuanya mimpi. 😔 Sedih betul",negatif,"Mimpi pergi supermarket beli macam barang ingredients semua, semangat nak buat cookies bagai, Last2 terbangun semuanya mimpi. <Wajah Termenung Sedih> Sedih betul"
1248,"""Serius vin ihh"" ia akhinya menggerutu kesal karena merasa saya permainkan pertanyaannya. ""Ga kehatean aja"" Dengan senyum tipis saya ucapkan. ""Aneh banget,udah ahh aku kesana dulu"" akhirnya ia pergi bertegur sapa dengan teman yang lain lagi.",netral,"""Serius vin ihh"" ia akhinya menggerutu kesal karena merasa saya permainkan pertanyaannya. ""Ga kehatean aja"" Dengan senyum tipis saya ucapkan. ""Aneh banget,udah ahh aku kesana dulu"" akhirnya ia pergi bertegur sapa dengan teman yang lain lagi."
1249,Yg kaya gini ttp aja masih banyak yg benci. Heran aing 😠,negatif,Yg kaya gini ttp aja masih banyak yg benci. Heran aing <Wajah Marah>
1250,Aww merasa malu wkwk 😛,positif,Aww merasa malu wkwk <Wajah Menjulurkan Lidah>
1251,Makanya sekarang aku paling muak ngeliat acaranya dan pemandu acara Si apapun temanya.. selalu yg di pojokkan Pak Jokowi/pemerintah 😠,negatif,Makanya sekarang aku paling muak ngeliat acaranya dan pemandu acara Si apapun temanya.. selalu yg di pojokkan Pak Jokowi/pemerintah <Wajah Marah>
1252,INI TUH EFEK SAMPINK TERLALU GUGUP CUHH 😛 GAADA SANGKUT PAUTNY W HOBI NGATAIN,netral,INI TUH EFEK SAMPINK TERLALU GUGUP CUHH <Wajah Menjulurkan Lidah> GAADA SANGKUT PAUTNY W HOBI NGATAIN
1253,bila kw menangis hatiku pun bersedih. bila kau senang htku pun berbunga. bila kw gelisah htku pn bergejolak. ini semua karena. kita SEHATI 😔,netral,bila kw menangis hatiku pun bersedih. bila kau senang htku pun berbunga. bila kw gelisah htku pn bergejolak. ini semua karena. kita SEHATI <Wajah Termenung Sedih>
1254,"I feel the same, biarpun skrg msh belum gajian, tp smnjk mulai kerja my mom sering buat wishlist ntr dia kalo aku udh start gajian, rasany senang campur sedih, senang krn mama selalu berdoa agar anaknya kerja sebagus dan setinggi mungkin, sedih krn liat wishlistnya byk bgt :|💔",netral,"I feel the same, biarpun skrg msh belum gajian, tp smnjk mulai kerja my mom sering buat wishlist ntr dia kalo aku udh start gajian, rasany senang campur sedih, senang krn mama selalu berdoa agar anaknya kerja sebagus dan setinggi mungkin, sedih krn liat wishlistnya byk bgt :|<Hati Patah>"
1255,"Yg jelas-jelas ajala gausah banyak bertele-tele, Malah jadi risih nantinya 😠",negatif,"Yg jelas-jelas ajala gausah banyak bertele-tele, Malah jadi risih nantinya <Wajah Marah>"
1256,"hahaha kalau u xpe, meh la borak lagi hahahaha, jaga2 ya... i think he likes u, jgn terkejut terbangun pukul 3 pagi ada yg gigit kaki 😛",netral,"hahaha kalau u xpe, meh la borak lagi hahahaha, jaga2 ya... i think he likes u, jgn terkejut terbangun pukul 3 pagi ada yg gigit kaki <Wajah Menjulurkan Lidah>"
1257,BANGGA GUE PLS 😛,positif,BANGGA GUE PLS <Wajah Menjulurkan Lidah>
1258,"Aku dpt call dr ank sulong arwah ptg semlm sgt terkejut, bila dia beritahu ""abg as... Ayah dh takde"" baru masuk hari y ke 11 aku berhenti kerja ak dpt tahu pesakit yang aku jaga setahun lebih dh takde..Allahu..aku sllu ingat y hari terakhir aku kerja, arwah menangis seolah - 😔",negatif,"Aku dpt call dr ank sulong arwah ptg semlm sgt terkejut, bila dia beritahu ""abg as... Ayah dh takde"" baru masuk hari y ke 11 aku berhenti kerja ak dpt tahu pesakit yang aku jaga setahun lebih dh takde..Allahu..aku sllu ingat y hari terakhir aku kerja, arwah menangis seolah - <Wajah Termenung Sedih>"
1259,malu bngtt [nutup muka] 😛,netral,malu bngtt [nutup muka] <Wajah Menjulurkan Lidah>
1260,Syukur alhmdulilah..termakbul doa 😊,positif,Syukur alhmdulilah..termakbul doa <Wajah Tersenyum Dengan Mata Tersenyum>
1261,Ada yang susah 😛 masih tersenyum Ada yang lelah 😔 tapi tak kerasa Ada yang bersedih 💔 tak ada yg peduli Ada yang kesal 🠄 hanya memendam Ada yang mbatin 😞 tapi membisu Ada yang berusaha 🤪 tapi sendiri Ada yang kejam 💣 tapi orang terdekat Ada yang tak peduli 🤷‍♂️ tapi tak disangka.,negatif,Ada yang susah <Wajah Menjulurkan Lidah> masih tersenyum Ada yang lelah <Wajah Termenung Sedih> tapi tak kerasa Ada yang bersedih <Hati Patah> tak ada yg peduli Ada yang kesal 🠄 hanya memendam Ada yang mbatin <Wajah Kecewa> tapi membisu Ada yang berusaha 🤪 tapi sendiri Ada yang kejam <Bom> tapi orang terdekat Ada yang tak peduli <Orang Mengangkat Bahu>‍♂️ tapi tak disangka.
1262,"Keren nih, siapa yg nge tweet? Yg likes dan retweet banyak ya. Semua sangat agamais dan mudah tersinggung. Anyway, Indonesia 85% - nya muslim, gimana mau anti Islam? Menurut malah kurang kontra, masih banyaknya diem2 aja kalau ada pengrusakan dll. 😕💣",negatif,"Keren nih, siapa yg nge tweet? Yg likes dan retweet banyak ya. Semua sangat agamais dan mudah tersinggung. Anyway, Indonesia 85% - nya muslim, gimana mau anti Islam? Menurut malah kurang kontra, masih banyaknya diem2 aja kalau ada pengrusakan dll. <Wajah Bingung><Bom>"
1263,Bener Tl gue ga kondusif lagi 😠 Aku kesal banyak kemakan ramalan yang belom tentu 100% bener,negatif,Bener Tl gue ga kondusif lagi <Wajah Marah> Aku kesal banyak kemakan ramalan yang belom tentu 100% bener
1264,"Udah kek wota aja tiap kali ada member potong rambut langsung terpesona 😛, coba pap kaka kmu drun",netral,"Udah kek wota aja tiap kali ada member potong rambut langsung terpesona <Wajah Menjulurkan Lidah>, coba pap kaka kmu drun"
1265,"saya amat sangat kecewa dgn penanganan yg saya terima. Semua manusia ada batasannya, tapi kalau hanya untuk tau dimana paket saya, menyampaikan complaint saya sebaik-baiknya despite ketidakpastian berjam-jam, telfon saya dgn tidak sopan dimatikan secara tiba2 saat bicara 😠",negatif,"saya amat sangat kecewa dgn penanganan yg saya terima. Semua manusia ada batasannya, tapi kalau hanya untuk tau dimana paket saya, menyampaikan complaint saya sebaik-baiknya despite ketidakpastian berjam-jam, telfon saya dgn tidak sopan dimatikan secara tiba2 saat bicara <Wajah Marah>"
1266,pdhl aku cocok sama ono km benci aku krn aku rebut ono kan!!!!!!!!! jaWAB FIKA 😛,negatif,pdhl aku cocok sama ono km benci aku krn aku rebut ono kan!!!!!!!!! jaWAB FIKA <Wajah Menjulurkan Lidah>
1267,Syukur deh kamu sadar sekarang suda pagi. Aku sungguh bahagia 😊,positif,Syukur deh kamu sadar sekarang suda pagi. Aku sungguh bahagia <Wajah Tersenyum Dengan Mata Tersenyum>
1268,perform is amazing .... terpesona dengan gerakan dance nya yang benar-benar ngikutin irama ditambah nuansa panggung nya 🎉,positif,perform is amazing .... terpesona dengan gerakan dance nya yang benar-benar ngikutin irama ditambah nuansa panggung nya 🎉
1269,"jauh apa?aku kt penang bodoeee,kecewa aque dngn kamue 😔",negatif,"jauh apa?aku kt penang bodoeee,kecewa aque dngn kamue <Wajah Termenung Sedih>"
1270,"itu knp gue benci bgt. mrk yg enak kita yg sengsara,ga sbntr buat nyembuhin ini,gue hrs nunda pendidikan bahkan ngerelain gaikt tes STAN krn ada tes kesehatan&fisik yg ga mgkn bgt bs lolos saat itu. hak kalian si mau ngerokok,tp perna mikir ga kl dampak ke org lain separah itu? 😠💣💔",negatif,"itu knp gue benci bgt. mrk yg enak kita yg sengsara,ga sbntr buat nyembuhin ini,gue hrs nunda pendidikan bahkan ngerelain gaikt tes STAN krn ada tes kesehatan&fisik yg ga mgkn bgt bs lolos saat itu. hak kalian si mau ngerokok,tp perna mikir ga kl dampak ke org lain separah itu? <Wajah Marah><Bom><Hati Patah>"
1271,Makanya jgn naruh harapan sm org jd kecewa kan Pdhl ak jg gt 😠,negatif,Makanya jgn naruh harapan sm org jd kecewa kan Pdhl ak jg gt <Wajah Marah>
1272,"aduh aduh aduh ponakan om yang paling ganteng yang besok mau disunat, sini ditepuk tepuk dulu 😛 jangan kenceng kenceng bang, anak gue lagi gugup banget ini 😕",netral,"aduh aduh aduh ponakan om yang paling ganteng yang besok mau disunat, sini ditepuk tepuk dulu <Wajah Menjulurkan Lidah> jangan kenceng kenceng bang, anak gue lagi gugup banget ini <Wajah Bingung>"
1273,Muak bangets gue sama gayanya si BANGSAT ini......SUE LU JOK 😠,negatif,Muak bangets gue sama gayanya si BANGSAT ini......SUE LU JOK <Wajah Marah>
1274,"Cewek kalo kecewa mulutnya aja yg jahat, padahal mah hatinya nangis. 💔",negatif,"Cewek kalo kecewa mulutnya aja yg jahat, padahal mah hatinya nangis. <Hati Patah>"
1275,"Bang, Martabak 1 ya Yang manis apa Yang telor Gak usah Yang Yangan deh, kitakan ga ada hubungan apa2, risih tau di gituin ... Bodo amat... Bngsaatttttt 😠💣💔",negatif,"Bang, Martabak 1 ya Yang manis apa Yang telor Gak usah Yang Yangan deh, kitakan ga ada hubungan apa2, risih tau di gituin ... Bodo amat... Bngsaatttttt <Wajah Marah><Bom><Hati Patah>"
1276,Gua ga pernah liat lu kasih emot kek gitu mangkannya jijik 😠,negatif,Gua ga pernah liat lu kasih emot kek gitu mangkannya jijik <Wajah Marah>
1277,"Aku kira ini hanya akan terjadi dengan teman temanku di Sulawesi, Kalimantan dan lainnya. Aku merasa lucu 😛 tapi sedih 💔",netral,"Aku kira ini hanya akan terjadi dengan teman temanku di Sulawesi, Kalimantan dan lainnya. Aku merasa lucu <Wajah Menjulurkan Lidah> tapi sedih <Hati Patah>"
1278,"Kemudian saya sholat. Setelahnya, rasanya saya menjadi lebih tenang. Amarah, rasa kesal, rasa kecewa dan marah mulai melunak. Kemudian saya menghampiri ibu lagi. Setelah berbincang cukup lama. Walaupun saya tidak sampai menceritakan semua masalahnya. Itu membuat saya sangat lega. 😌",positif,"Kemudian saya sholat. Setelahnya, rasanya saya menjadi lebih tenang. Amarah, rasa kesal, rasa kecewa dan marah mulai melunak. Kemudian saya menghampiri ibu lagi. Setelah berbincang cukup lama. Walaupun saya tidak sampai menceritakan semua masalahnya. Itu membuat saya sangat lega. <Wajah Lega>"
1279,Menangis bahagia melihat ini huwaaaah gk tau hamidunnya eeeh pas publis tau tau dah gendong baby girl omaigaat Congrats! So happy for both of you ozil nuuurrr 😍,positif,Menangis bahagia melihat ini huwaaaah gk tau hamidunnya eeeh pas publis tau tau dah gendong baby girl omaigaat Congrats! So happy for both of you ozil nuuurrr <Wajah Tersenyum Dengan Mata Hati>
1280,"Pft aku ga berharap mereka balikin awardnya buat daniel, krn itu impossible. Cuman kalian itu sadar diri dikit kek, gamalu apa jadi bahan ketawaan? Abis bikin trending sampis yg ternyata bukan daniel yg nerima award, skrg idol kalean yg dpt award gantiin idol lain. Karma ngeri ya 😠💣💔",negatif,"Pft aku ga berharap mereka balikin awardnya buat daniel, krn itu impossible. Cuman kalian itu sadar diri dikit kek, gamalu apa jadi bahan ketawaan? Abis bikin trending sampis yg ternyata bukan daniel yg nerima award, skrg idol kalean yg dpt award gantiin idol lain. Karma ngeri ya <Wajah Marah><Bom><Hati Patah>"
1281,takut tidur sama guling 😛,netral,takut tidur sama guling <Wajah Menjulurkan Lidah>
1282,kalo makan martabak mbok ya atas bawah sekalian gt jangan dilepasin satu-satu gt risih liatnya (?) 😛,netral,kalo makan martabak mbok ya atas bawah sekalian gt jangan dilepasin satu-satu gt risih liatnya (?) <Wajah Menjulurkan Lidah>
1283,Mindset taknak muntah jelah. Penat ah nak muntah bagai orang dahla penat dah 😛,netral,Mindset taknak muntah jelah. Penat ah nak muntah bagai orang dahla penat dah <Wajah Menjulurkan Lidah>
1284,"Sad 😔, kecewa coba bikin egg tart bel, siapa tau nanti sungjin muncul",negatif,"Sad <Wajah Termenung Sedih>, kecewa coba bikin egg tart bel, siapa tau nanti sungjin muncul"
1285,katanya baguus ya? pengen nonton tp gara-gara liat cuplikannya ada yg bacok pala 🤢 jd ngeri,negatif,katanya baguus ya? pengen nonton tp gara-gara liat cuplikannya ada yg bacok pala <Wajah Mual> jd ngeri
1286,"Menghitung Januari pada tiap enam puluh menit yang berlalu dengan sesal, enam puluh menit yang akan datang dengan cemas, tapi waktu memaksa hidup dalam enam puluh menit yang sedang berjalan 😔",negatif,"Menghitung Januari pada tiap enam puluh menit yang berlalu dengan sesal, enam puluh menit yang akan datang dengan cemas, tapi waktu memaksa hidup dalam enam puluh menit yang sedang berjalan <Wajah Termenung Sedih>"
1287,Jangan sampai umat islam murka kelar hidup loe 😠,negatif,Jangan sampai umat islam murka kelar hidup loe <Wajah Marah>
1288,Terkejut i 😛,netral,Terkejut i <Wajah Menjulurkan Lidah>
1289,HAHAHAHA DAH WEH. WEH FON JATUH ATAS BIBIAQ AKU. TERKEJUT 😛,netral,HAHAHAHA DAH WEH. WEH FON JATUH ATAS BIBIAQ AKU. TERKEJUT <Wajah Menjulurkan Lidah>
1290,"pokoknya si mba2 farmasi itu ada mslh sm temennya bukan sama dia trus dia jg ngebongkar aib mba2 farmasi gt. 😠 Dan di ss an chat juga, awalnya yang salah adalah tmnnya mba kasir. Makannya mba farmasi murka. Pokoknya mba kasir sm mba farmasi sm aja klakuannya",negatif,"pokoknya si mba2 farmasi itu ada mslh sm temennya bukan sama dia trus dia jg ngebongkar aib mba2 farmasi gt. <Wajah Marah> Dan di ss an chat juga, awalnya yang salah adalah tmnnya mba kasir. Makannya mba farmasi murka. Pokoknya mba kasir sm mba farmasi sm aja klakuannya"
1291,"Ni kebiasaan bgt nih tiap mau ke tempat baru pasti overthinking, cemas berlebihan 😛",negatif,"Ni kebiasaan bgt nih tiap mau ke tempat baru pasti overthinking, cemas berlebihan <Wajah Menjulurkan Lidah>"
1292,"Awas, jangan terlalu mencintai nanti jadi benci 😛",netral,"Awas, jangan terlalu mencintai nanti jadi benci <Wajah Menjulurkan Lidah>"
1293,Syukur kaga ada. Udh deg2an 😛,netral,Syukur kaga ada. Udh deg2an <Wajah Menjulurkan Lidah>
1294,"Yg seharusnya tidak terlalu tersinggung kalau disebut azab, karna definisi azabnya udah ga jelas seperti ini. tidak sepesifik sebabnya dan tidak ada benang merahnya antara sebab dan akibat, yang tidak merasa berbuat kesalahan juga ikut tersinggung. 😕",negatif,"Yg seharusnya tidak terlalu tersinggung kalau disebut azab, karna definisi azabnya udah ga jelas seperti ini. tidak sepesifik sebabnya dan tidak ada benang merahnya antara sebab dan akibat, yang tidak merasa berbuat kesalahan juga ikut tersinggung. <Wajah Bingung>"
1295,"HAMPIR SEMUA cowok BERHASIL MEMBUAT AKU MUAK, MAAF. 😛",negatif,"HAMPIR SEMUA cowok BERHASIL MEMBUAT AKU MUAK, MAAF. <Wajah Menjulurkan Lidah>"
1296,hidup ni penat 😛,negatif,hidup ni penat <Wajah Menjulurkan Lidah>
1297,Sedih klo ga mutualan ama kmu 😔,negatif,Sedih klo ga mutualan ama kmu <Wajah Termenung Sedih>
1298,MALEM MALEM BIKIN TERKEJUT 😛,netral,MALEM MALEM BIKIN TERKEJUT <Wajah Menjulurkan Lidah>
1299,"Mungkin tiga sampai empat lagu, satu lagu ditambah dance juga kalau mood sedang bagus. Wah, pasti senang, dong. 😊 Nggak perlu bayar tapi bisa nonton konser eksklusif. Bagus kalau begitu. 🎉",positif,"Mungkin tiga sampai empat lagu, satu lagu ditambah dance juga kalau mood sedang bagus. Wah, pasti senang, dong. <Wajah Tersenyum Dengan Mata Tersenyum> Nggak perlu bayar tapi bisa nonton konser eksklusif. Bagus kalau begitu. 🎉"
1300,"Pernah suka sebelum duka, Pernah tertawa sebelum semuanya terluka, Pernah bahagia sebelum corona ada, Tuhan hanya ingin mengingatkan kita agar kita kembali kepadanya. 😔💔",negatif,"Pernah suka sebelum duka, Pernah tertawa sebelum semuanya terluka, Pernah bahagia sebelum corona ada, Tuhan hanya ingin mengingatkan kita agar kita kembali kepadanya. <Wajah Termenung Sedih><Hati Patah>"
1301,"Udah biasa kalo malu-maluin, Kak! 😛",netral,"Udah biasa kalo malu-maluin, Kak! <Wajah Menjulurkan Lidah>"
1302,kalo gw sebutin banyak 😠 krna gw jaga kehilangan sumber bahan bacaan dan satu lg simpatisannya jaga bnyak takut gw kena bacot,negatif,kalo gw sebutin banyak <Wajah Marah> krna gw jaga kehilangan sumber bahan bacaan dan satu lg simpatisannya jaga bnyak takut gw kena bacot
1303,wajib sujud syukur ini 😛,netral,wajib sujud syukur ini <Wajah Menjulurkan Lidah>
1304,"Wanita luar biasa yang selalu mengajarkan ilmu ikhlas, ilmu perjuangan, membantu tanpa pamrih, tak mau dikasihani. Intinya selalu mengajarkan berjuanglah untuk apa yg kau harapkan. Maaf sampai akhir hayatmu kita masih hidup sengsara, aku blm bisa memberikan... 😔",negatif,"Wanita luar biasa yang selalu mengajarkan ilmu ikhlas, ilmu perjuangan, membantu tanpa pamrih, tak mau dikasihani. Intinya selalu mengajarkan berjuanglah untuk apa yg kau harapkan. Maaf sampai akhir hayatmu kita masih hidup sengsara, aku blm bisa memberikan... <Wajah Termenung Sedih>"
1305,"Bikin yg ada aj kak, klo gada jgn dipaksa nanti kecewa 😠",negatif,"Bikin yg ada aj kak, klo gada jgn dipaksa nanti kecewa <Wajah Marah>"
1306,"Negara lain memilih lockdown dengan mengorbankan ekonomi, di sini justru terbalik dengan mengorbankan kemanusiaan... 😔 Sedih, WNA asing masih bisa masuk, konflik horizontal pemudik x pemukim, kebijakan lempar batu sembunyi tangan...",negatif,"Negara lain memilih lockdown dengan mengorbankan ekonomi, di sini justru terbalik dengan mengorbankan kemanusiaan... <Wajah Termenung Sedih> Sedih, WNA asing masih bisa masuk, konflik horizontal pemudik x pemukim, kebijakan lempar batu sembunyi tangan..."
1307,maintenance la pulak terkejut ler tu banyak yuyu join main hahahhahaa 😛,netral,maintenance la pulak terkejut ler tu banyak yuyu join main hahahhahaa <Wajah Menjulurkan Lidah>
1308,"Reporter aja terpesona, apalagi saya manusia biasa yg cuma hobi rebahan 😛",netral,"Reporter aja terpesona, apalagi saya manusia biasa yg cuma hobi rebahan <Wajah Menjulurkan Lidah>"
1309,Ngeri banget yg pacaran mah bentukannya begini. Mnding mblo aj k xixixi 😛,netral,Ngeri banget yg pacaran mah bentukannya begini. Mnding mblo aj k xixixi <Wajah Menjulurkan Lidah>
1310,"dimana kabar bohong?yg benci itu yg merusak tempat ibadah umat islam, kristen protestan radikal mengatasnamakan Laskar manguni tuama minahasa...paham kau!!!? kalau kau banyak bacot jangan2 memang kau salah satu orang minahasa di perantauan atau akun yg menyamar 😠💣💔",negatif,"dimana kabar bohong?yg benci itu yg merusak tempat ibadah umat islam, kristen protestan radikal mengatasnamakan Laskar manguni tuama minahasa...paham kau!!!? kalau kau banyak bacot jangan2 memang kau salah satu orang minahasa di perantauan atau akun yg menyamar <Wajah Marah><Bom><Hati Patah>"
1311,risih ciriwit kimi. hih!! 😛,netral,risih ciriwit kimi. hih!! <Wajah Menjulurkan Lidah>
1312,Kalo ngga tahun ini ya tahun depan lah dicabut nyawanya dia...biar ga bikin sengsara orang byk...aamiiinn... 😛,netral,Kalo ngga tahun ini ya tahun depan lah dicabut nyawanya dia...biar ga bikin sengsara orang byk...aamiiinn... <Wajah Menjulurkan Lidah>
