komentar,komentar_with_tags,sentimen llm
"saya sebagai cewe selalu di sakitin sama cowo saya,cowo saya tidak adil sama saya,dan memperlakukan saya tidak adil,cowo saya jalan sama cewe lain dan jalan"" berduaan naik motor😢😢😢","saya sebagai cewe selalu di sakitin sama cowo saya,cowo saya tidak adil sama saya,dan memperlakukan saya tidak adil,cowo saya jalan sama cewe lain dan jalan"" berduaan naik motor<Wajah Menangis><Wajah Menangis><Wajah Menangis>",positif
"Rasa sayang ini akan slalu sama sampai kpn pun❤,

5-01-2026","Rasa sayang ini akan slalu sama sampai kpn pun<Hati Merah>,

5-01-2026",netral
"mon maaf bgt oot ,namanya sama kya nama gua coo😭😭","mon maaf bgt oot ,namanya sama kya nama gua coo<Wajah Menangis Kencang><Wajah Menangis Kencang>",positif
Cmn gua yg dari 2025😅 25:34 25:39,Cmn gua yg dari 2025<Wajah Tersenyum Mulut Terbuka Dan Keringat Dingin> 25:34 25:39,netral
Cmn gua yg dari 2025😅,Cmn gua yg dari 2025<Wajah Tersenyum Mulut Terbuka Dan Keringat Dingin>,netral
😢😢😢😢😢😢 tiap denger lagu2 ini knp mewek y' teringat segala tentang dia yg pergi ..,<Wajah Menangis><Wajah Menangis><Wajah Menangis><Wajah Menangis><Wajah Menangis><Wajah Menangis> tiap denger lagu2 ini knp mewek y' teringat segala tentang dia yg pergi ..,positif
"...
..
...😢😅😅😅😅😅😮","...
..
...<Wajah Menangis><Wajah Tersenyum Mulut Terbuka Dan Keringat Dingin><Wajah Tersenyum Mulut Terbuka Dan Keringat Dingin><Wajah Tersenyum Mulut Terbuka Dan Keringat Dingin><Wajah Tersenyum Mulut Terbuka Dan Keringat Dingin><Wajah Tersenyum Mulut Terbuka Dan Keringat Dingin><Wajah Terperangah Terbuka>",positif
😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭semua berubah,<Wajah Menangis Kencang><Wajah Menangis Kencang><Wajah Menangis Kencang><Wajah Menangis Kencang><Wajah Menangis Kencang><Wajah Menangis Kencang><Wajah Menangis Kencang><Wajah Menangis Kencang><Wajah Menangis Kencang><Wajah Menangis Kencang><Wajah Menangis Kencang><Wajah Menangis Kencang><Wajah Menangis Kencang><Wajah Menangis Kencang><Wajah Menangis Kencang><Wajah Menangis Kencang><Wajah Menangis Kencang><Wajah Menangis Kencang><Wajah Menangis Kencang><Wajah Menangis Kencang><Wajah Menangis Kencang><Wajah Menangis Kencang><Wajah Menangis Kencang><Wajah Menangis Kencang><Wajah Menangis Kencang><Wajah Menangis Kencang><Wajah Menangis Kencang><Wajah Menangis Kencang><Wajah Menangis Kencang><Wajah Menangis Kencang><Wajah Menangis Kencang><Wajah Menangis Kencang><Wajah Menangis Kencang><Wajah Menangis Kencang><Wajah Menangis Kencang><Wajah Menangis Kencang><Wajah Menangis Kencang><Wajah Menangis Kencang>semua berubah,positif
"Asli sedih inget masa ini co, andaikan waktu bisa diulang kembali😔","Asli sedih inget masa ini co, andaikan waktu bisa diulang kembali<Wajah Termenung Sedih>",positif
"Hari ini hari dimana kau pergi melangkah jauh dari hidup ku🥲😪




27 Mei 2025...................","Hari ini hari dimana kau pergi melangkah jauh dari hidup ku🥲<Wajah Mengantuk>




27 Mei 2025...................",netral
Komentar nya tambah lebih mengalau😂,Komentar nya tambah lebih mengalau<Wajah Menangis Gembira>,negatif
"Lebih baik berbuka dengan kurma yang manis tapi bayak protein

daripada dia yang manis tapi hanya nyakitin🙂💔💔","Lebih baik berbuka dengan kurma yang manis tapi bayak protein

daripada dia yang manis tapi hanya nyakitin<Wajah Agak Tersenyum><Hati Patah><Hati Patah>",negatif
kangen era ini  ☹️,kangen era ini  <Wajah Merengut>️,negatif
setiap kali dengerin lagu ini pasti keinget waktu masih sama dia dlu🙃,setiap kali dengerin lagu ini pasti keinget waktu masih sama dia dlu<Wajah Terbalik>,negatif
"Suatu saat nanti kita akan bersama lagi,tapi sekarang di manakah perkataan manis itu😌

Sumatera Utara,2022,16 oktober","Suatu saat nanti kita akan bersama lagi,tapi sekarang di manakah perkataan manis itu<Wajah Lega>

Sumatera Utara,2022,16 oktober",netral
Lagune gawe hati les2 yah 😅😅,Lagune gawe hati les2 yah <Wajah Tersenyum Mulut Terbuka Dan Keringat Dingin><Wajah Tersenyum Mulut Terbuka Dan Keringat Dingin>,positif
"Sad bgt, ternyata emg bener cwo itu hanya cinta di awal aja lama kelamaan dia akan bosan sama cwek nya, beda Ama cwe di awal dia biasa"" aja tpi lama kelamaan cinta dia bakal jatuh terlalu dalam, ini yg aku alami skrg 😭😭 dan itu sakit bgt 😭😭 mana cinta pertama lagi","Sad bgt, ternyata emg bener cwo itu hanya cinta di awal aja lama kelamaan dia akan bosan sama cwek nya, beda Ama cwe di awal dia biasa"" aja tpi lama kelamaan cinta dia bakal jatuh terlalu dalam, ini yg aku alami skrg <Wajah Menangis Kencang><Wajah Menangis Kencang> dan itu sakit bgt <Wajah Menangis Kencang><Wajah Menangis Kencang> mana cinta pertama lagi",positif
"Di angkat begitu tinggi lalu dijatuhin yg begitu amat kencang,sakit bnget rasany ya Allah semoga kuat😭","Di angkat begitu tinggi lalu dijatuhin yg begitu amat kencang,sakit bnget rasany ya Allah semoga kuat<Wajah Menangis Kencang>",positif
"""Dulu aku dengannya sedekat nadi, sekarang aku dengannya sejauh matahari, hapus airmata mu lalu bangkitlah dari sedihmu"" ☺️
Medan, 8 Mei 2022","""Dulu aku dengannya sedekat nadi, sekarang aku dengannya sejauh matahari, hapus airmata mu lalu bangkitlah dari sedihmu"" <Wajah Tersenyum Simpel>️
Medan, 8 Mei 2022",netral
Dipaksa untuk melepas padahal menggenggam saja belum pernah 😀..,Dipaksa untuk melepas padahal menggenggam saja belum pernah <Wajah Menyeringai>..,positif
Dengar lagu ini kaya mewakili perasaan saat ini 😢💔,Dengar lagu ini kaya mewakili perasaan saat ini <Wajah Menangis><Hati Patah>,negatif
"""Aku yang membuatmu pulih 
Tapi dia yang kau pilih""😌😔","""Aku yang membuatmu pulih 
Tapi dia yang kau pilih""<Wajah Lega><Wajah Termenung Sedih>",positif
Cintaku gugur ditangan camer 😂😂😂😂 y sudah saya cari camer lain saja dr pada menyakiti diri sendiri.. Yg penting saya dah berjuang sekuat dan sebaik yg saya bisa.... Medan ternyata vuma sebuah mimpi 😂😂😂dan sesama jawa adalah masa depan q 😘😘😍,Cintaku gugur ditangan camer <Wajah Menangis Gembira><Wajah Menangis Gembira><Wajah Menangis Gembira><Wajah Menangis Gembira> y sudah saya cari camer lain saja dr pada menyakiti diri sendiri.. Yg penting saya dah berjuang sekuat dan sebaik yg saya bisa.... Medan ternyata vuma sebuah mimpi <Wajah Menangis Gembira><Wajah Menangis Gembira><Wajah Menangis Gembira>dan sesama jawa adalah masa depan q <Wajah Meniup Ciuman><Wajah Meniup Ciuman><Wajah Tersenyum Dengan Mata Hati>,negatif
mencintaimu Adalah asu😭😭😭,mencintaimu Adalah asu<Wajah Menangis Kencang><Wajah Menangis Kencang><Wajah Menangis Kencang>,negatif
"Lagu nya nyaman banget sampek"" 300 tisu habis 😅😩","Lagu nya nyaman banget sampek"" 300 tisu habis <Wajah Tersenyum Mulut Terbuka Dan Keringat Dingin><Wajah Lelah Lesu>",negatif
"Halo kak Noval, mampir terus ya😊","Halo kak Noval, mampir terus ya<Wajah Tersenyum Dengan Mata Tersenyum>",netral
Ikhlas itu gampang diucap sulit dilakukan 😢,Ikhlas itu gampang diucap sulit dilakukan <Wajah Menangis>,positif
"Akhir September  2021 di patah kan oleh seseorang, butuh waktu lama buat pulih🥲seiring berjalan nya waktu Oktober November Desember sedikit membaik dan pada bulan awal Januari berusaha membuka hati lagi buat seseorang yg baru datang, dia seakan akan meyakinkan aku untuk sembuh dari luka Kemaren, namun di awal Februari 2022 dia juga memberi luka yg sama pamit untuk pergi🥲 dan akhir nya aku merasakan patah hati lagi, ku kira dia rumah ternyata cuma singgah ternyata sesingkat itu yah ganteng🥺 pesan aku buat kamu jangan terlalu manis seakan akan meyakin untuk menetap tapi nyata nya ga sesuai sama ucapan yg kamu pernah bilang🤗 sakit sih tapi ga papa dehh☺️","Akhir September  2021 di patah kan oleh seseorang, butuh waktu lama buat pulih🥲seiring berjalan nya waktu Oktober November Desember sedikit membaik dan pada bulan awal Januari berusaha membuka hati lagi buat seseorang yg baru datang, dia seakan akan meyakinkan aku untuk sembuh dari luka Kemaren, namun di awal Februari 2022 dia juga memberi luka yg sama pamit untuk pergi🥲 dan akhir nya aku merasakan patah hati lagi, ku kira dia rumah ternyata cuma singgah ternyata sesingkat itu yah ganteng🥺 pesan aku buat kamu jangan terlalu manis seakan akan meyakin untuk menetap tapi nyata nya ga sesuai sama ucapan yg kamu pernah bilang<Wajah Memeluk> sakit sih tapi ga papa dehh<Wajah Tersenyum Simpel>️",positif
😭😭😭 menangis dalam hati ...,<Wajah Menangis Kencang><Wajah Menangis Kencang><Wajah Menangis Kencang> menangis dalam hati ...,positif
dengerin lagu sampe nangis nyesek gataunya ibuk buka pintu kamar mergokin🤣,dengerin lagu sampe nangis nyesek gataunya ibuk buka pintu kamar mergokin<Tertawa Terpingkal-Pingkal>,netral
"Saat sakit krn dia, baru sadar di belakang ada cinta pertama yg menerima apapun kekurangan putrinya 😌 thx u para ayah terhebat","Saat sakit krn dia, baru sadar di belakang ada cinta pertama yg menerima apapun kekurangan putrinya <Wajah Lega> thx u para ayah terhebat",negatif
hati sudah hancur dan mati rasa tapi masih coba bertahan demi buah hati.😌,hati sudah hancur dan mati rasa tapi masih coba bertahan demi buah hati.<Wajah Lega>,positif
Enak buat 😴😴😴😴,Enak buat <Wajah Tidur><Wajah Tidur><Wajah Tidur><Wajah Tidur>,negatif
"PengenNya sampai maut memisahkan, namun apalah daya jika sudah di atur skenarionya begitu 😞😞,sesek hati ini","PengenNya sampai maut memisahkan, namun apalah daya jika sudah di atur skenarionya begitu <Wajah Kecewa><Wajah Kecewa>,sesek hati ini",positif
"Lebih ke sakit hati kalau dia lebih bahagia sama pacar saudaranya tanpa mengerti perasaan yang menjaga hatinya,serasa tidak dipedulikan lagi dan tidak dibutuhkan lagi🙂","Lebih ke sakit hati kalau dia lebih bahagia sama pacar saudaranya tanpa mengerti perasaan yang menjaga hatinya,serasa tidak dipedulikan lagi dan tidak dibutuhkan lagi<Wajah Agak Tersenyum>",positif
"Tanggal 2 Mei minggu 2022  ada tapi kayak tdk ada hampah maunya di mengerti tdk mau mengeerti, egois harus tetap sabar🙃","Tanggal 2 Mei minggu 2022  ada tapi kayak tdk ada hampah maunya di mengerti tdk mau mengeerti, egois harus tetap sabar<Wajah Terbalik>",positif
"Demi apa si denger lagi di awal tahun, segalau ini guaaaa😭","Demi apa si denger lagi di awal tahun, segalau ini guaaaa<Wajah Menangis Kencang>",positif
"Udah jangan galau lg kak Mutia,  mulai tahun baru dengan perasaan yang baru 🤗","Udah jangan galau lg kak Mutia,  mulai tahun baru dengan perasaan yang baru <Wajah Memeluk>",netral
Sesedih itukah dunia percintaan 😂😁😀,Sesedih itukah dunia percintaan <Wajah Menangis Gembira><Wajah Menyeringai Dengan Mata Tersenyum><Wajah Menyeringai>,positif
Yg lagi putar lagi ini pesti lagi galau karna di tinggal seseorang 🙏,Yg lagi putar lagi ini pesti lagi galau karna di tinggal seseorang <Tangan Merapat Berdoa>,positif
Njir pada mengalau 😭😭,Njir pada mengalau <Wajah Menangis Kencang><Wajah Menangis Kencang>,positif
"Sedang bersama ,namun yang di sebut hanya nama dia 🙃","Sedang bersama ,namun yang di sebut hanya nama dia <Wajah Terbalik>",netral
Wkwk sabar Ola 🤗,Wkwk sabar Ola <Wajah Memeluk>,negatif
Sedih.tpi bsa yu g bolh netesin air mata.😀 mengikhlaskn walapun sakit.,Sedih.tpi bsa yu g bolh netesin air mata.<Wajah Menyeringai> mengikhlaskn walapun sakit.,positif
"Dilepas masih Cinta, bertahan tapi nyakitin 😢

Medan, 10 desember 2021","Dilepas masih Cinta, bertahan tapi nyakitin <Wajah Menangis>

Medan, 10 desember 2021",netral
"Percayakah Kepada Lelakimu. Karna Diamnya Lelaki Bukan Karna Sudah Tidak ada rasa/Cinta....
Namun Karna Dia Sudah Lelah Dengan keadaan Dan Jangan Tanya Lagi jika Dia Sudh Pergi.Jangankan Melihatmu... Menyebut namamu Pun sudah Jadi Sebuah dosa☺☺☺

#Surabaya 07-12-2021","Percayakah Kepada Lelakimu. Karna Diamnya Lelaki Bukan Karna Sudah Tidak ada rasa/Cinta....
Namun Karna Dia Sudah Lelah Dengan keadaan Dan Jangan Tanya Lagi jika Dia Sudh Pergi.Jangankan Melihatmu... Menyebut namamu Pun sudah Jadi Sebuah dosa<Wajah Tersenyum Simpel><Wajah Tersenyum Simpel><Wajah Tersenyum Simpel>

#Surabaya 07-12-2021",netral
Bukan dia yg slah tapi  aku yg blm siap untuk membuka hati kembali 😴,Bukan dia yg slah tapi  aku yg blm siap untuk membuka hati kembali <Wajah Tidur>,positif
Semoga ganteng nya ak bisaa dapat yng lebih baik dari ak🙂,Semoga ganteng nya ak bisaa dapat yng lebih baik dari ak<Wajah Agak Tersenyum>,negatif
"Kebersamaan menciptakan kerinduan perpisahan menciptakan sakit hati 😭😢

Namrole 22 november 2021.","Kebersamaan menciptakan kerinduan perpisahan menciptakan sakit hati <Wajah Menangis Kencang><Wajah Menangis>

Namrole 22 november 2021.",netral
Yang intiyah jangan mencintai kalau takut tersakiti Oky 🤗,Yang intiyah jangan mencintai kalau takut tersakiti Oky <Wajah Memeluk>,positif
6thn ggur:) pdhl mau nikah tp dia mendua😭,6thn ggur:) pdhl mau nikah tp dia mendua<Wajah Menangis Kencang>,positif
Mang sakit di putusin pcr mah!  🙂😞😭,Mang sakit di putusin pcr mah!  <Wajah Agak Tersenyum><Wajah Kecewa><Wajah Menangis Kencang>,positif
"Bolehkah ku berbagi mengenai perasaan yang saat ini aku alami☺️
Lama sudah kita menjalin hubungan ini, namun semua hancur disaat kamu memilih dia hanya supaya aku berhenti berharap akan hadirmu. Tapi aku tau kamu masih mencintai ku, namun kamu tak berani meninggalkannya.
Apakah aku yang harus mengalah demi kebahagiaan mu? Dan kehancuran ku:)
Bandung, 16-nov-21","Bolehkah ku berbagi mengenai perasaan yang saat ini aku alami<Wajah Tersenyum Simpel>️
Lama sudah kita menjalin hubungan ini, namun semua hancur disaat kamu memilih dia hanya supaya aku berhenti berharap akan hadirmu. Tapi aku tau kamu masih mencintai ku, namun kamu tak berani meninggalkannya.
Apakah aku yang harus mengalah demi kebahagiaan mu? Dan kehancuran ku:)
Bandung, 16-nov-21",netral
Aaaaaannnnnjinnnnnnngggggg😄,Aaaaaannnnnjinnnnnnngggggg<Wajah Tersenyum Mulut Terbuka Dan Mata Tersenyum>,negatif
Hubungan tanpa status pas di tinggalin sakit nya ngelebihin orang yang pacaran beneran😂,Hubungan tanpa status pas di tinggalin sakit nya ngelebihin orang yang pacaran beneran<Wajah Menangis Gembira>,positif
Seru aja pengen galau biar Sad🤣,Seru aja pengen galau biar Sad<Tertawa Terpingkal-Pingkal>,positif
"Makasih ya,  pengen nangis ga bisa pas dgr lagu ini nangis beneran 😭😭😭😭","Makasih ya,  pengen nangis ga bisa pas dgr lagu ini nangis beneran <Wajah Menangis Kencang><Wajah Menangis Kencang><Wajah Menangis Kencang><Wajah Menangis Kencang>",netral
Bismillah ketemu jodoh😆,Bismillah ketemu jodoh<Wajah Tersenyum Mulut Terbuka Dan Mata Tertutup>,negatif
Aq dengerin karna pengen tidur 😅,Aq dengerin karna pengen tidur <Wajah Tersenyum Mulut Terbuka Dan Keringat Dingin>,netral
"""Ku kira waktu akan menyembuhkanku, namun nyatanya malah semakin menghancurkanku💔. ""

BANGKA, 04 November 2021.","""Ku kira waktu akan menyembuhkanku, namun nyatanya malah semakin menghancurkanku<Hati Patah>. ""

BANGKA, 04 November 2021.",netral
"Coba tanyakan lagi pada hatimu, apakah sebaiknya kita putus atau terus, kita sedang mempertahankan hubungan atau hanya sekedar menunda perpisahan.. 2013-2021.. the End.. LDR 7 thn.. berakhir disini.. 😭😭.. Bangka Belitung 3 november 2021...","Coba tanyakan lagi pada hatimu, apakah sebaiknya kita putus atau terus, kita sedang mempertahankan hubungan atau hanya sekedar menunda perpisahan.. 2013-2021.. the End.. LDR 7 thn.. berakhir disini.. <Wajah Menangis Kencang><Wajah Menangis Kencang>.. Bangka Belitung 3 november 2021...",netral
Bertahan sakit kehilangan juga sakit💔💔💔,Bertahan sakit kehilangan juga sakit<Hati Patah><Hati Patah><Hati Patah>,positif
"Saya gugur setela jalani 4 tahuan😊gak tau harus gimana seperti sdh gk sanggup ajak hidup, tpi satu sisi ingat ibu dan adek yg mash, duduk di bangku SD 😭😭😭","Saya gugur setela jalani 4 tahuan<Wajah Tersenyum Dengan Mata Tersenyum>gak tau harus gimana seperti sdh gk sanggup ajak hidup, tpi satu sisi ingat ibu dan adek yg mash, duduk di bangku SD <Wajah Menangis Kencang><Wajah Menangis Kencang><Wajah Menangis Kencang>",netral
"Aku selalu berusaha untuk tidak berharap kepadamu seseorang yang disana. Tapi ntah kenapa aku diingatkan oleh mu melalui gambar-gambar mu yang begitu manis, dengan penuh senyuman yang menggambarkan kebahagiaan. Aku tak tahu apa yang sebenarnya terjadi antara kita disaat kamu mencoba menjauh mengapa gambaran mu ada untuk mengingatkan ku. Apakah kamu memang nantinya jodohku😢😢","Aku selalu berusaha untuk tidak berharap kepadamu seseorang yang disana. Tapi ntah kenapa aku diingatkan oleh mu melalui gambar-gambar mu yang begitu manis, dengan penuh senyuman yang menggambarkan kebahagiaan. Aku tak tahu apa yang sebenarnya terjadi antara kita disaat kamu mencoba menjauh mengapa gambaran mu ada untuk mengingatkan ku. Apakah kamu memang nantinya jodohku<Wajah Menangis><Wajah Menangis>",negatif
bikin tenang 😌,bikin tenang <Wajah Lega>,negatif
Terima kasih admin.. saya dgr ni sambil baca buku .. tenang sgt kadang² ada lagu yang sesuai dgn ayat² buku yang saya baca menyebabkan mengalir air mata saya hehehe❤,Terima kasih admin.. saya dgr ni sambil baca buku .. tenang sgt kadang² ada lagu yang sesuai dgn ayat² buku yang saya baca menyebabkan mengalir air mata saya hehehe<Hati Merah>,negatif
"Kenangan Terindah bagus banget, minta sheet nya boleh gak kak? 😅","Kenangan Terindah bagus banget, minta sheet nya boleh gak kak? <Wajah Tersenyum Mulut Terbuka Dan Keringat Dingin>",netral
merdu banget ❤❤❤,merdu banget <Hati Merah><Hati Merah><Hati Merah>,negatif
🎉2025.......❤,🎉2025.......<Hati Merah>,positif
Mengingatkan saya😢,Mengingatkan saya<Wajah Menangis>,negatif
Awas aja kalo sampe video ini dihapus 😤,Awas aja kalo sampe video ini dihapus <Wajah Mengeluarkan Uap Dari Hidung>,positif
Aku periksa di dokter pasti diputerin instrumen iniii 😊,Aku periksa di dokter pasti diputerin instrumen iniii <Wajah Tersenyum Dengan Mata Tersenyum>,netral
"lagu piano sahabatku main
sistem online 👍🏻","lagu piano sahabatku main
sistem online <Jempol Ke Atas>🏻",netral
Terima kasih .....sangat menghibur...👍👍👍👍,Terima kasih .....sangat menghibur...<Jempol Ke Atas><Jempol Ke Atas><Jempol Ke Atas><Jempol Ke Atas>,negatif
Mantab. Sehat selalu.. 👍,Mantab. Sehat selalu.. <Jempol Ke Atas>,negatif
😊😊😊😊😊😊😊😊🤭🤭🤭🤭🤭🤭🤭🤭🤭☺️☺️☺️☺️☺️☺️☺️☺️,<Wajah Tersenyum Dengan Mata Tersenyum><Wajah Tersenyum Dengan Mata Tersenyum><Wajah Tersenyum Dengan Mata Tersenyum><Wajah Tersenyum Dengan Mata Tersenyum><Wajah Tersenyum Dengan Mata Tersenyum><Wajah Tersenyum Dengan Mata Tersenyum><Wajah Tersenyum Dengan Mata Tersenyum><Wajah Tersenyum Dengan Mata Tersenyum>🤭🤭🤭🤭🤭🤭🤭🤭🤭<Wajah Tersenyum Simpel>️<Wajah Tersenyum Simpel>️<Wajah Tersenyum Simpel>️<Wajah Tersenyum Simpel>️<Wajah Tersenyum Simpel>️<Wajah Tersenyum Simpel>️<Wajah Tersenyum Simpel>️<Wajah Tersenyum Simpel>️,negatif
anggiwerufj❤️🥰🎉🎉🎉🎉🎉❤❤❤❤❤❤❤❤❤❤❤❤,anggiwerufj<Hati Merah>️🥰🎉🎉🎉🎉🎉<Hati Merah><Hati Merah><Hati Merah><Hati Merah><Hati Merah><Hati Merah><Hati Merah><Hati Merah><Hati Merah><Hati Merah><Hati Merah><Hati Merah>,negatif
kulagi bosen yaydah kubiarin cucubaby main hanphonmuluu😊😊😊😊,kulagi bosen yaydah kubiarin cucubaby main hanphonmuluu<Wajah Tersenyum Dengan Mata Tersenyum><Wajah Tersenyum Dengan Mata Tersenyum><Wajah Tersenyum Dengan Mata Tersenyum><Wajah Tersenyum Dengan Mata Tersenyum>,netral
Gemes banget kucingnya❤❤❤❤😊😊😊😊😂,Gemes banget kucingnya<Hati Merah><Hati Merah><Hati Merah><Hati Merah><Wajah Tersenyum Dengan Mata Tersenyum><Wajah Tersenyum Dengan Mata Tersenyum><Wajah Tersenyum Dengan Mata Tersenyum><Wajah Tersenyum Dengan Mata Tersenyum><Wajah Menangis Gembira>,negatif
Iiiii  aku suka banget❤❤❤❤❤❤❤😎😎☺️🤭🥳🥳,Iiiii  aku suka banget<Hati Merah><Hati Merah><Hati Merah><Hati Merah><Hati Merah><Hati Merah><Hati Merah><Wajah Tersenyum Dengan Kacamata Hitam><Wajah Tersenyum Dengan Kacamata Hitam><Wajah Tersenyum Simpel>️🤭🥳🥳,negatif
❤️♥️❤️❤️♥️♥️❤️♥️❤️♥️❤️ bagus 🤙🤙👍👍👍,<Hati Merah>️♥️<Hati Merah>️<Hati Merah>️♥️♥️<Hati Merah>️♥️<Hati Merah>️♥️<Hati Merah>️ bagus 🤙🤙<Jempol Ke Atas><Jempol Ke Atas><Jempol Ke Atas>,negatif
"LG nya bgs sklh,kucing lagi th Ngan joget 🤣🥰🥰🎉🎉","LG nya bgs sklh,kucing lagi th Ngan joget <Tertawa Terpingkal-Pingkal>🥰🥰🎉🎉",positif
Aku suka banget sama kamu ❤❤❤😊😊😊,Aku suka banget sama kamu <Hati Merah><Hati Merah><Hati Merah><Wajah Tersenyum Dengan Mata Tersenyum><Wajah Tersenyum Dengan Mata Tersenyum><Wajah Tersenyum Dengan Mata Tersenyum>,negatif
❤❤❤bagus sekali,<Hati Merah><Hati Merah><Hati Merah>bagus sekali,negatif
ini lagunya  bagus😊😊😊😊,ini lagunya  bagus<Wajah Tersenyum Dengan Mata Tersenyum><Wajah Tersenyum Dengan Mata Tersenyum><Wajah Tersenyum Dengan Mata Tersenyum><Wajah Tersenyum Dengan Mata Tersenyum>,netral
Terima kasih… hati saya auto merah merona ❤️🔥,Terima kasih… hati saya auto merah merona <Hati Merah>️<Api>,negatif
😂😂😂😂😂😂😂😂😂😂😂😂😂😂,<Wajah Menangis Gembira><Wajah Menangis Gembira><Wajah Menangis Gembira><Wajah Menangis Gembira><Wajah Menangis Gembira><Wajah Menangis Gembira><Wajah Menangis Gembira><Wajah Menangis Gembira><Wajah Menangis Gembira><Wajah Menangis Gembira><Wajah Menangis Gembira><Wajah Menangis Gembira><Wajah Menangis Gembira><Wajah Menangis Gembira>,negatif
Kucing yang jadi telor itu kasian 🤣🤣🤣🤣,Kucing yang jadi telor itu kasian <Tertawa Terpingkal-Pingkal><Tertawa Terpingkal-Pingkal><Tertawa Terpingkal-Pingkal><Tertawa Terpingkal-Pingkal>,positif
Lucu banget kucingya❤,Lucu banget kucingya<Hati Merah>,negatif
Gemoy❤❤❤❤❤😊,Gemoy<Hati Merah><Hati Merah><Hati Merah><Hati Merah><Hati Merah><Wajah Tersenyum Dengan Mata Tersenyum>,negatif
Bagus banget bang👍😅,Bagus banget bang<Jempol Ke Atas><Wajah Tersenyum Mulut Terbuka Dan Keringat Dingin>,negatif
🎉❤😊 1:37 1:37 1:37 1:37 1:38 1:38 1:38 1:38 1:39 1:39 1:39 1:39 1:40 1:40 1:40 1:41 1:41 1:41 1:41 1:41 1:42 1:44 1:44 1:44 1:44 1:45 1:45 1:45 1:46 1:46 1:46 1:46 1:47 1:47 1:47,🎉<Hati Merah><Wajah Tersenyum Dengan Mata Tersenyum> 1:37 1:37 1:37 1:37 1:38 1:38 1:38 1:38 1:39 1:39 1:39 1:39 1:40 1:40 1:40 1:41 1:41 1:41 1:41 1:41 1:42 1:44 1:44 1:44 1:44 1:45 1:45 1:45 1:46 1:46 1:46 1:46 1:47 1:47 1:47,netral
masa kucing batu😭😭😭😭,masa kucing batu<Wajah Menangis Kencang><Wajah Menangis Kencang><Wajah Menangis Kencang><Wajah Menangis Kencang>,positif
yang di menit ke 45 itu namanya spidercing😂🤣😂🤣,yang di menit ke 45 itu namanya spidercing<Wajah Menangis Gembira><Tertawa Terpingkal-Pingkal><Wajah Menangis Gembira><Tertawa Terpingkal-Pingkal>,netral
😅😅😅😅😅😅🎉🎉🎉🎉😂😂😂😂😂😂😮😮😮😮🎉🎉🎉😊❤😊😊😊❤,<Wajah Tersenyum Mulut Terbuka Dan Keringat Dingin><Wajah Tersenyum Mulut Terbuka Dan Keringat Dingin><Wajah Tersenyum Mulut Terbuka Dan Keringat Dingin><Wajah Tersenyum Mulut Terbuka Dan Keringat Dingin><Wajah Tersenyum Mulut Terbuka Dan Keringat Dingin><Wajah Tersenyum Mulut Terbuka Dan Keringat Dingin>🎉🎉🎉🎉<Wajah Menangis Gembira><Wajah Menangis Gembira><Wajah Menangis Gembira><Wajah Menangis Gembira><Wajah Menangis Gembira><Wajah Menangis Gembira><Wajah Terperangah Terbuka><Wajah Terperangah Terbuka><Wajah Terperangah Terbuka><Wajah Terperangah Terbuka>🎉🎉🎉<Wajah Tersenyum Dengan Mata Tersenyum><Hati Merah><Wajah Tersenyum Dengan Mata Tersenyum><Wajah Tersenyum Dengan Mata Tersenyum><Wajah Tersenyum Dengan Mata Tersenyum><Hati Merah>,negatif
8:50 ketawa karena suaranya😂😂,8:50 ketawa karena suaranya<Wajah Menangis Gembira><Wajah Menangis Gembira>,netral
Auto sakitperut😂😂😂😂😂😂😂😂😂😂😂 52:58,Auto sakitperut<Wajah Menangis Gembira><Wajah Menangis Gembira><Wajah Menangis Gembira><Wajah Menangis Gembira><Wajah Menangis Gembira><Wajah Menangis Gembira><Wajah Menangis Gembira><Wajah Menangis Gembira><Wajah Menangis Gembira><Wajah Menangis Gembira><Wajah Menangis Gembira> 52:58,netral
Harus nya diam jgn banyak bicara . Bahasan nya .kurng menyenangkan.. terserap sama anak saya😌,Harus nya diam jgn banyak bicara . Bahasan nya .kurng menyenangkan.. terserap sama anak saya<Wajah Lega>,positif
Lucu❤❤❤❤❤❤,Lucu<Hati Merah><Hati Merah><Hati Merah><Hati Merah><Hati Merah><Hati Merah>,negatif
